ID,Pop,Teff,logg,__Fe_H_,__a_Fe_,z,mass,EW,A_Li_LTE,A_Li,Note
BD-21 3420,C,5908,4.26,-1.13,0.31,0.0024,0.77,21.2,1.95,1.92,
CD-33 3337,C,6079,3.86,-1.36,0.3,0.0014,0.85,39.2,2.37,2.32,
CD-43 6810,A,6045,4.26,-0.43,0.23,0.0105,0.99, < 1.0, < 0.72, < 0.70,
CD-45 3283,B,5697,4.55,-0.91,0.12,0.0029,0.79, < 1.0, < 0.43, < 0.43,
CD-51 4628,B,6253,4.31,-1.3,0.22,0.0014,0.85,29.7,2.36,2.29,
CD-57 1633,B,5973,4.28,-0.9,0.07,0.0028,0.81,30.5,2.19,2.15,
CD-61 282,B,5859,4.31,-1.23,0.22,0.0016,0.73,36.7,2.18,2.14,
G05-19,B,5954,4.26,-1.18,0.19,0.0017,0.76,32.7,2.2,2.15,
G05-36,A,6113,4.23,-1.23,0.35,0.002,0.83,41.6,2.43,2.37,
G05-40,A,5895,4.17,-0.81,0.31,0.0049,0.83,13.5,1.74,1.72,
G13-38,A,5363,4.54,-0.88,0.32,0.0044,0.73, < 3.0, < 0.58, < 0.61,
G15-23,A,5397,4.57,-1.1,0.34,0.0028,0.71, < 3.0, < 0.61, < 0.63,
G16-20,B,5725,3.64,-1.42,0.26,0.0011,0.85,38.8,2.1,2.07,
G18-28,A,5472,4.41,-0.83,0.31,0.0048,0.72, < 2.0, < 0.51, < 0.53,SB1 
G18-39,A,6140,4.21,-1.39,0.34,0.0014,0.8,30.6,2.29,2.23,
G20-15,B,6127,4.32,-1.49,0.24,0.001,0.78,34.1,2.33,2.27,
G21-22,B,6001,4.24,-1.09,0.09,0.0018,0.78,37.9,2.31,2.25,
G24-13,A,5773,4.31,-0.72,0.29,0.0059,0.82, < 3.0, < 0.97, < 0.97,
G24-25,A,5928,3.86,-1.4,0.35,0.0014,0.81, < 2.0, < 0.90, < 0.87,SB1 
G31-55,A,5738,4.3,-1.1,0.29,0.0025,0.72,10.9,1.51,1.49,
G46-31,B,6001,4.23,-0.83,0.15,0.0037,0.83,26.1,2.14,2.1,SB1 
G49-19,A,5872,4.25,-0.55,0.27,0.0085,0.89,4.5,1.23,1.23,SB1 
G53-41,B,5959,4.27,-1.2,0.23,0.0018,0.76,27.2,2.11,2.06,
G56-30,B,5930,4.26,-0.89,0.11,0.003,0.8,29.5,2.14,2.1,
G56-36,B,6033,4.28,-0.94,0.2,0.0032,0.84,24.1,2.12,2.07,
G57-07,A,5776,4.25,-0.47,0.31,0.0107,0.9, < 2.0, < 0.80, < 0.81,
G63-26,A,6143,4.18,-1.56,0.37,0.001,0.78,46.8,2.5,2.43,
G66-22,B,5336,4.41,-0.86,0.12,0.0033,0.64,10.8,1.12,1.16,
