Name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,vmic,e_vmic,mass,FeI_FeII_LTE,e_FeI_FeII_LTE,FeI_FeII_NLTE,e_FeI_FeII_NLTE,N_FeI,N_FeII
HD19373,6045,80,4.24,0.05,0.1,0.05,1.2,0.14,1.11,0.06,0.09,0.06,0.09,26,15
HD22484,6000,100,4.07,0.05,0.01,0.04,1.1,0.14,1.18,-0.02,0.07,0,0.07,27,16
HD22879,5800,90,4.29,0.07,-0.84,0.07,1,0.14,0.75,-0.06,0.08,-0.03,0.08,23,14
HD30562,5900,85,4.08,0.05,0.17,0.08,1.3,0.14,1.12,0.02,0.09,0.02,0.09,26,16
HD34411,5850,100,4.23,0.05,0.01,0.03,1.2,0.14,1.1,-0.01,0.05,-0.02,0.05,26,15
HD49933,6600,80,4.15,0.05,-0.47,0.07,1.7,0.14,1.11,-0.05,0.08,-0.04,0.08,26,15
HD59374,5850,55,4.38,0.09,-0.88,0.05,1.2,0.14,0.75,-0.06,0.09,-0.02,0.09,24,15
HD59984,5930,100,4.02,0.06,-0.69,0.07,1.4,0.14,0.89,-0.06,0.1,-0.06,0.1,23,18
HD64090,5400,70,4.7,0.08,-1.73,0.07,0.7,0.14,0.62,-0.02,0.09,-0.02,0.09,22,11
HD69897,6240,70,4.24,0.05,-0.25,0.04,1.4,0.14,1.15,-0.06,0.07,-0.04,0.07,28,15
HD84937,6350,85,4.09,0.08,-2.12,0.07,1.7,0.14,0.76,-0.06,0.11,0,0.12,12,7
HD94028,5970,130,4.33,0.08,-1.47,0.04,1.3,0.14,0.7,-0.06,0.07,-0.04,0.07,20,15
HD102870,6170,80,4.14,0.04,0.11,0.06,1.5,0.14,1.35,-0.03,0.07,-0.01,0.07,23,14
HD103095,5130,65,4.66,0.08,-1.26,0.08,0.9,0.14,0.6,0.01,0.11,0.01,0.11,22,8
HD105755,5800,55,4.05,0.09,-0.73,0.05,1.2,0.14,0.85,-0.01,0.06,0,0.06,23,15
HD114710,6090,80,4.47,0.05,0.06,0.06,1.1,0.14,1.17,0.03,0.07,0.04,0.06,26,15
HD134169,5890,80,4.02,0.07,-0.78,0.07,1.2,0.14,0.87,0.01,0.09,0.06,0.09,26,18
HD140283,5780,55,3.7,0.07,-2.46,0.07,1.6,0.14,0.8,-0.06,0.09,-0.02,0.09,20,14
HD142091,4810,65,3.12,0.06,-0.07,0.1,1.2,0.14,1.16,0.05,0.13,0.05,0.12,20,13
BD+660268,5300,80,4.72,0.11,-2.06,0.15,0.6,0.14,0.6,-0.03,0.16,-0.03,0.16,21,9
HD24289,5980,86,3.71,0.04,-1.94,0.17,1.1,0.14,0.83,-0.1,0.19,-0.03,0.19,16,10
HD30743,6450,86,4.2,0.04,-0.44,0.07,1.8,0.14,1.08,-0.03,0.09,0.01,0.09,26,18
HD43318,6250,86,3.92,0.04,-0.19,0.08,1.7,0.14,1.26,-0.05,0.13,-0.01,0.09,28,15
HD45067,5960,86,3.94,0.04,-0.16,0.06,1.5,0.14,1.18,-0.03,0.07,-0.01,0.07,24,16
HD45205,5790,86,4.08,0.04,-0.87,0.03,1.1,0.14,0.82,-0.08,0.07,-0.05,0.07,23,16
HD52711,5900,86,4.33,0.04,-0.21,0.05,1.2,0.14,0.97,0.03,0.07,0.05,0.07,26,16
HD58855,6410,86,4.32,0.04,-0.29,0.05,1.6,0.14,1.15,-0.01,0.08,0.01,0.07,26,15
HD62301,5840,86,4.09,0.04,-0.7,0.04,1.3,0.14,0.85,-0.07,0.08,-0.04,0.08,29,16
HD74000,6225,86,4.13,0.04,-1.97,0.07,1.3,0.14,0.76,-0.08,0.1,-0.02,0.1,15,7
HD76932,5870,86,4.1,0.04,-0.98,0.05,1.3,0.14,NaN,-0.01,0.07,0.03,0.08,27,16
HD82943,5970,86,4.37,0.04,0.19,0.04,1.2,0.14,1.17,0.01,0.06,0.01,0.06,25,13
HD89744,6280,86,3.97,0.04,0.13,0.03,1.7,0.14,1.5,0.01,0.05,0.02,0.06,26,13
HD90839,6195,86,4.38,0.04,-0.18,0.05,1.4,0.14,1.1,0.04,0.07,0.06,0.07,28,17
HD92855,6020,86,4.36,0.04,-0.12,0.03,1.3,0.14,1.08,0,0.06,0.02,0.05,24,11
HD99984,6190,86,3.72,0.04,-0.38,0.04,1.8,0.14,1.33,-0.01,0.07,0.03,0.07,24,15
HD100563,6460,86,4.32,0.04,0.06,0.08,1.6,0.14,1.3,0,0.1,0.02,0.1,23,10
HD106516,6300,86,4.44,0.04,-0.73,0.06,1.5,0.14,0.95,-0.03,0.08,0,0.08,22,15
HD108177,6100,86,4.22,0.04,-1.67,0.05,1.1,0.14,0.72,-0.08,0.13,-0.06,0.14,16,5
HD110897,5920,86,4.41,0.04,-0.57,0.04,1.2,0.14,0.85,0.03,0.05,0.05,0.05,29,18
HD115617,5490,86,4.4,0.04,-0.1,0.05,1.1,0.14,0.93,-0.04,0.08,-0.05,0.08,26,13
HD134088,5730,86,4.46,0.04,-0.8,0.05,1.1,0.14,0.75,-0.02,0.07,0,0.07,25,15
HD138776,5650,86,4.3,0.04,0.24,0.05,1.3,0.14,0.93,0.02,0.1,0,0.1,21,11
HD142373,5830,86,3.96,0.04,-0.54,0.05,1.4,0.14,0.95,-0.02,0.07,-0.02,0.07,28,17
BD-043208,6390,86,4.08,0.04,-2.2,0.09,1.4,0.14,0.77,-0.08,0.11,0,0.11,16,11
BD-133442,6400,86,3.95,0.04,-2.62,0.09,1.4,0.14,0.79,-0.14,0.11,0,0.11,8,5
